Policy,Category,Indicator,Unit,rank,score
C6_Stay at home requirements,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,42,0.010739067352015382
C6_Stay at home requirements,Economics,"International tourism, receipts",US Dollar,43,0.010706633894447143
C6_Stay at home requirements,Demographics,Individuals using the Internet,percent of population,44,0.010548863946226101
C6_Stay at home requirements,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,45,0.010377108615230507
C6_Stay at home requirements,Health,"Immunization, measles (% of children ages 12-23 months)",percent,46,0.01022211819091437
C6_Stay at home requirements,Environment,Fossil fuel energy consumption,percent of total,47,0.009535468670184663
C6_Stay at home requirements,Health,"Nurses and midwives (per 1,000 people)",Ones,48,0.00933563927890665
C6_Stay at home requirements,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,49,0.00924645140111022
C6_Stay at home requirements,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,50,0.00914455977697634
C6_Stay at home requirements,Social issues ,Progression to secondary school (%),proportion,51,0.009128633898270993
C6_Stay at home requirements,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",52,0.008909004589035336
C6_Stay at home requirements,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",53,0.008582494312244782
C6_Stay at home requirements,Social issues ,Gini index (World Bank estimate),index ,54,0.008304088740343355
C6_Stay at home requirements,Health,Prevalence of Respiratory infections and tuberculosis,percent,55,0.008296986309108146
C6_Stay at home requirements,Health,Prevalence of Diabetes,percent,56,0.00823279686441755
C6_Stay at home requirements,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,57,0.008179064203777476
C6_Stay at home requirements,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,58,0.008172398551405214
C6_Stay at home requirements,Health,Prevalence of chronic kidney disease,percent,59,0.00811094605649546
C6_Stay at home requirements,Health,Prevalence of down syndrome,percent,60,0.008064630053654771
C6_Stay at home requirements,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,61,0.007815612378689803
C6_Stay at home requirements,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,62,0.007705548839653678
C6_Stay at home requirements,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,63,0.007678476969813594
C6_Stay at home requirements,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",64,0.007632699915630429
C6_Stay at home requirements,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),65,0.007485256544518772
C6_Stay at home requirements,Social issues ,Coverage of social safety net programs (% of population),proportion,66,0.007435326813512864
C6_Stay at home requirements,Demographics,Age dependency ratio,percent of total population,67,0.007302655299765794
C6_Stay at home requirements,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,68,0.007225804759557255
C6_Stay at home requirements,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",69,0.0072043717303834935
C6_Stay at home requirements,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,70,0.007072869480822676
C6_Stay at home requirements,Economics,"Lending interest rates, percent per annum",percent per annum,71,0.007030714743332711
C6_Stay at home requirements,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,72,0.007001214144492072
C6_Stay at home requirements,Economics,Expenditure on social protection (% of GDP),percent,73,0.006904856708630383
C6_Stay at home requirements,Economics,Expenditure on health (% of GDP),percent,74,0.006898358388742156
C6_Stay at home requirements,Economics,Expenditure on education (% of GDP),percent,75,0.006852261744712932
C6_Stay at home requirements,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,76,0.006806128604832497
C6_Stay at home requirements,Demographics,Secure Internet servers ,per 1 million people,77,0.006755624113415614
C6_Stay at home requirements,Demographics,People using at least basic sanitation services (% of population),proportion,78,0.006540203081084831
C6_Stay at home requirements,Demographics,"Net migration rate, per 1000 population",per thousand persons,79,0.0065380913135667075
C6_Stay at home requirements,Demographics,Mobile cellular (per 100 people),per 100 population,80,0.006517627045702899
C6_Stay at home requirements,Demographics,Internet users (per 100 people),per 100 population,81,0.006243135343971518
C6_Stay at home requirements,Demographics,Fixed telephone subscriptions,number,82,0.006180834553684991
C6_Stay at home requirements,Demographics,Fixed telephone (per 100 people),per 100 population,83,0.0060657020706710646
C6_Stay at home requirements,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,84,0.006040798653079316
C6_Stay at home requirements,Economics,Starting a Business (Score),Score,85,0.005550435362956077
C6_Stay at home requirements,Economics,Stock market capitalization (US$ million),percent,86,0.005530480058321873
C6_Stay at home requirements,Economics,"Trade, total as % of GDP",percent,87,0.005500434431896192
C6_Stay at home requirements,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,88,0.005114306326409219
C6_Stay at home requirements,Governance,Economic Freedom Score (Index),score,89,0.0051137097122865875
C6_Stay at home requirements,Governance,Control of corruption estimate,score,90,0.005113108570386148
C6_Stay at home requirements,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,91,0.005001778756465644
C6_Stay at home requirements,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,92,0.004575430652706098
C6_Stay at home requirements,Demographics,Age dependency ratio (% of working-age population),proportion,93,0.004249461979849836
C6_Stay at home requirements,Environment,"Energy imports, net ",percent of energy use,94,0.003846005205505097
C6_Stay at home requirements,Environment,"Electricity production from oil, gas and coal sources",percent of total,95,0.0037415979337728227
C6_Stay at home requirements,Economics,Unemployment rate (%) - Annual,percent,96,0.003495206999041668
C6_Stay at home requirements,Environment,Electricity production from nuclear sources ,percent of total,97,0.003323615035680323
C6_Stay at home requirements,Environment,Electricity production from coal sources ,percent of total,98,0.003227218161399812
C6_Stay at home requirements,Environment,Combustible renewables and waste,percent of total energy,99,0.0031977479724263204
C6_Stay at home requirements,Environment,CO2 emissions (kt),kt,100,0.0030780692629742133
C6_Stay at home requirements,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,101,0.0021264313354573032
C6_Stay at home requirements,Environment,Access to electricity ,percent of population,102,0.0018847444448453225
C6_Stay at home requirements,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,103,0.0
C7_Restrictions on internal movement,Governance,Serious assault (rate),rate,1,0.02420096803918625
C7_Restrictions on internal movement,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,2,0.02197270973028773
C7_Restrictions on internal movement,Social issues ,Proportion of women in managerial positions (%),percent,3,0.021750361409731515
C7_Restrictions on internal movement,Demographics,Rural population (% of total population),proportion,4,0.019769372316204764
C7_Restrictions on internal movement,Health,Prevalence of chronic kidney disease,percent,5,0.01842711243427657
C7_Restrictions on internal movement,Economics,"Lending interest rates, percent per annum",percent per annum,6,0.017202711067135574
C7_Restrictions on internal movement,Social issues ,Net migration,net total / data are 5 year estimates,7,0.01711485599692906
C7_Restrictions on internal movement,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",8,0.017033546969647723
C7_Restrictions on internal movement,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,9,0.016167815516050173
C7_Restrictions on internal movement,Health,Prevalence of Hypertensive heart disease,percent,10,0.015761466996699777
C7_Restrictions on internal movement,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,11,0.015517967790202949
C7_Restrictions on internal movement,Governance,Human Development Index,index,12,0.014931595343325837
C7_Restrictions on internal movement,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,13,0.01477033685006209
C7_Restrictions on internal movement,Economics,"Central government debt, total",percent of GDP,14,0.014599857133762878
C7_Restrictions on internal movement,Health,Prevalence of obesity,percent,15,0.014315855848364369
C7_Restrictions on internal movement,Health,Prevalence of Diabetes,percent,16,0.014022019554637489
C7_Restrictions on internal movement,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",17,0.013825223285648607
C7_Restrictions on internal movement,Demographics,People using at least basic sanitation services (% of population),proportion,18,0.013657154971774272
C7_Restrictions on internal movement,Demographics,Fixed broadband subscriptions,number,19,0.013576040500350767
C7_Restrictions on internal movement,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),20,0.013562841051376324
C7_Restrictions on internal movement,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,21,0.013561538486886451
C7_Restrictions on internal movement,Environment,Renewable energy consumption ,percent of total final energy consumption,22,0.013543126375060935
C7_Restrictions on internal movement,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,23,0.013318493742786215
C7_Restrictions on internal movement,Environment,CO2 emissions (metric tons per capita),metric tons per capita,24,0.01315172071601111
C7_Restrictions on internal movement,Demographics,Secure Internet servers ,per 1 million people,25,0.012988286230646432
C7_Restrictions on internal movement,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",26,0.01292940607000629
C7_Restrictions on internal movement,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,27,0.01281973834034526
C7_Restrictions on internal movement,Environment,Combustible renewables and waste,percent of total energy,28,0.012803176729435681
C7_Restrictions on internal movement,Economics,Volume of exports,percent change,29,0.012799094111362864
C7_Restrictions on internal movement,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",30,0.012683750301768448
C7_Restrictions on internal movement,Economics,Growth rates of household expenditure or income per capita (%),percent,31,0.012673038485975525
C7_Restrictions on internal movement,Demographics,Individuals using the Internet,percent of population,32,0.012351606607813386
C7_Restrictions on internal movement,Environment,"Energy imports, net ",percent of energy use,33,0.012262541069037687
C7_Restrictions on internal movement,Health,Prevalence of down syndrome,percent,34,0.012017370968946558
C7_Restrictions on internal movement,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,35,0.011836285295126953
C7_Restrictions on internal movement,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,36,0.01155446841299449
C7_Restrictions on internal movement,Health,"Immunization, measles (% of children ages 12-23 months)",percent,37,0.011496152396163669
C7_Restrictions on internal movement,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,38,0.011492211979919141
C7_Restrictions on internal movement,Environment,Electric power consumption ,kWh per capita,39,0.011461497340676073
C7_Restrictions on internal movement,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,40,0.011243912168537077
C7_Restrictions on internal movement,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,41,0.011167989471653723
C7_Restrictions on internal movement,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,42,0.0111497670878705
C7_Restrictions on internal movement,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,43,0.011010150808428642
C7_Restrictions on internal movement,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,44,0.010996545505370669
C7_Restrictions on internal movement,Health,Prevalence of anxiety disorders,percent,45,0.010862342521991699
C7_Restrictions on internal movement,Environment,CO2 emissions (kt),kt,46,0.010530982319257516
C7_Restrictions on internal movement,Economics,Volume of imports,percent change,47,0.010422369449800517
C7_Restrictions on internal movement,Economics,Stock market capitalization (US$ million),US Dollar,48,0.010011110881794748
C7_Restrictions on internal movement,Governance,Corruption Perceptions Index,score,49,0.010000876176957026
C7_Restrictions on internal movement,Health,Prevalence of total cancers,percent,50,0.009984929219511265
C7_Restrictions on internal movement,Social issues ,Press freedom score,score,51,0.009873980048930931
C7_Restrictions on internal movement,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,52,0.00983683185112827
C7_Restrictions on internal movement,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,53,0.0098239664981307
C7_Restrictions on internal movement,Health,"Physicians (per 1,000 people)",Ones,54,0.009766804509870351
C7_Restrictions on internal movement,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,55,0.009654920873758249
C7_Restrictions on internal movement,Health,Prevalence of Depressive disorders,percent,56,0.009645645175095032
C7_Restrictions on internal movement,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,57,0.009566039443763462
C7_Restrictions on internal movement,Social issues ,Progression to secondary school (%),proportion,58,0.009406858587005152
C7_Restrictions on internal movement,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,59,0.009087115976732644
C7_Restrictions on internal movement,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,60,0.009063746554020863
C7_Restrictions on internal movement,Health,"Nurses and midwives (per 1,000 people)",Ones,61,0.008919770205668484
C7_Restrictions on internal movement,Demographics,Fixed telephone (per 100 people),per 100 population,62,0.00881381399275878
C7_Restrictions on internal movement,Health,Prevalence of Respiratory infections and tuberculosis,percent,63,0.008029106199033477
C7_Restrictions on internal movement,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",64,0.007871538969482787
C7_Restrictions on internal movement,Demographics,Fixed telephone subscriptions,number,65,0.007768698099101017
C7_Restrictions on internal movement,Social issues ,Gini index (World Bank estimate),index ,66,0.0077664004574481485
C7_Restrictions on internal movement,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,67,0.007729684727770669
C7_Restrictions on internal movement,Social issues ,Coverage of social safety net programs (% of population),proportion,68,0.007668011339139319
C7_Restrictions on internal movement,Demographics,People using safely managed drinking water services (% of population),proportion,69,0.007432447206087354
C7_Restrictions on internal movement,Governance,Control of corruption estimate,score,70,0.007300676535323315
C7_Restrictions on internal movement,Demographics,Internet users (per 100 people),per 100 population,71,0.007134435472173414
C7_Restrictions on internal movement,Economics,Unemployment rate (%) - Annual,percent,72,0.006788222569307785
C7_Restrictions on internal movement,Demographics,"Population, total",total,73,0.0064910623505173145
C7_Restrictions on internal movement,Demographics,Refugee population by country or territory of asylum,proportion,74,0.006481114364190479
C7_Restrictions on internal movement,Demographics,Urban population (% of total population),total,75,0.006319782504351028
C7_Restrictions on internal movement,Economics,Expenditure on education (% of GDP),percent,76,0.006040450237644061
C7_Restrictions on internal movement,Economics,Expenditure on health (% of GDP),percent,77,0.005947896606608842
C7_Restrictions on internal movement,Economics,Expenditure on social protection (% of GDP),percent,78,0.005852167344330972
C7_Restrictions on internal movement,Economics,"Foreign direct investment, net",US Dollar,79,0.005808278378066986
C7_Restrictions on internal movement,Economics,"International tourism, receipts",US Dollar,80,0.005768213718919622
C7_Restrictions on internal movement,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,81,0.005723798930779055
C7_Restrictions on internal movement,Demographics,"Net migration rate, per 1000 population",per thousand persons,82,0.00547036843068492
C7_Restrictions on internal movement,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,83,0.0054553927595467795
C7_Restrictions on internal movement,Economics,Starting a Business (Score),Score,84,0.005107875965584708
C7_Restrictions on internal movement,Economics,Stock market capitalization (US$ million),percent,85,0.005095376993036218
C7_Restrictions on internal movement,Economics,"Trade, total as % of GDP",percent,86,0.004596153379775547
C7_Restrictions on internal movement,Demographics,Mobile cellular subscriptions,number,87,0.004482481363849271
C7_Restrictions on internal movement,Health,Hospital beds (per 10 000 population),Ones,88,0.004345342290645405
C7_Restrictions on internal movement,Environment,Access to electricity ,percent of population,89,0.0038773820864805007
C7_Restrictions on internal movement,Environment,Electricity production from coal sources ,percent of total,90,0.0038361495616440412
C7_Restrictions on internal movement,Environment,Electricity production from nuclear sources ,percent of total,91,0.003701619280873222
C7_Restrictions on internal movement,Environment,Electricity production from oil sources,percent of total,92,0.003418600451136103
C7_Restrictions on internal movement,Environment,"Electricity production from oil, gas and coal sources",percent of total,93,0.0030139216798753944
C7_Restrictions on internal movement,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,94,0.0029568341254951978
C7_Restrictions on internal movement,Demographics,Age dependency ratio (% of working-age population),proportion,95,0.002927231738275934
C7_Restrictions on internal movement,Environment,Fossil fuel energy consumption,percent of total,96,0.0029129002330108133
C7_Restrictions on internal movement,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,97,0.002476239991599363
C7_Restrictions on internal movement,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,98,0.0018208662041709592
C7_Restrictions on internal movement,Governance,Economic Freedom Score (Index),score,99,0.001580679514197322
C7_Restrictions on internal movement,Demographics,Mobile cellular (per 100 people),per 100 population,100,0.0013507952058799228
C7_Restrictions on internal movement,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",101,0.0005945938736058666
C7_Restrictions on internal movement,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,102,0.00029342306570276616
C7_Restrictions on internal movement,Demographics,Age dependency ratio,percent of total population,103,0.0
C8_International travel controls,Governance,Serious assault (rate),rate,1,0.01639155647558177
C8_International travel controls,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",2,0.016142337082154356
C8_International travel controls,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,3,0.015590064502356822
C8_International travel controls,Health,Prevalence of Hypertensive heart disease,percent,4,0.015381661734703414
C8_International travel controls,Social issues ,Proportion of women in managerial positions (%),percent,5,0.015187714624184426
C8_International travel controls,Demographics,Urban population (% of total population),total,6,0.01509210395717986
C8_International travel controls,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,7,0.015060668018990739
C8_International travel controls,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,8,0.014713405543391806
C8_International travel controls,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,9,0.014347725820796055
C8_International travel controls,Demographics,Rural population (% of total population),proportion,10,0.014240762129776732
C8_International travel controls,Economics,Volume of imports,percent change,11,0.014191281125141642
C8_International travel controls,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,12,0.013269504556184575
C8_International travel controls,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),13,0.013253895620650396
C8_International travel controls,Governance,Control of corruption estimate,score,14,0.013214813880798922
C8_International travel controls,Health,"Physicians (per 1,000 people)",Ones,15,0.013208819094499573
C8_International travel controls,Social issues ,Gini index (World Bank estimate),index ,16,0.013130564910657224
C8_International travel controls,Environment,Combustible renewables and waste,percent of total energy,17,0.013108214308976907
C8_International travel controls,Health,Hospital beds (per 10 000 population),Ones,18,0.012671768595424862
C8_International travel controls,Governance,Economic Freedom Score (Index),score,19,0.012464967662044479
C8_International travel controls,Social issues ,Coverage of social safety net programs (% of population),proportion,20,0.012396736684718409
C8_International travel controls,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,21,0.012262286009804118
C8_International travel controls,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,22,0.012233397197981041
C8_International travel controls,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",23,0.012230829072717771
C8_International travel controls,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",24,0.01218546891167112
C8_International travel controls,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,25,0.012113499042077668
C8_International travel controls,Environment,Electric power consumption ,kWh per capita,26,0.011959696589363186
C8_International travel controls,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,27,0.011891672544577363
C8_International travel controls,Health,Prevalence of down syndrome,percent,28,0.011852734238926898
C8_International travel controls,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,29,0.011774609181320176
C8_International travel controls,Demographics,Individuals using the Internet,percent of population,30,0.011628259778266585
C8_International travel controls,Health,Prevalence of anxiety disorders,percent,31,0.011553311761938682
C8_International travel controls,Demographics,Secure Internet servers ,per 1 million people,32,0.011393914642537174
C8_International travel controls,Environment,CO2 emissions (kt),kt,33,0.01138473260254054
C8_International travel controls,Demographics,People using at least basic sanitation services (% of population),proportion,34,0.01125882367327404
C8_International travel controls,Health,"Immunization, measles (% of children ages 12-23 months)",percent,35,0.011199661296008379
C8_International travel controls,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,36,0.011173202889492752
C8_International travel controls,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,37,0.010842917785655331
C8_International travel controls,Health,Prevalence of Respiratory infections and tuberculosis,percent,38,0.010826948821095297
C8_International travel controls,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,39,0.010648511542230303
C8_International travel controls,Economics,Expenditure on health (% of GDP),percent,40,0.010541683558711743
C8_International travel controls,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,41,0.010439824893655072
C8_International travel controls,Demographics,Age dependency ratio,percent of total population,42,0.0103888016044567
C8_International travel controls,Economics,Stock market capitalization (US$ million),US Dollar,43,0.010388676730949955
C8_International travel controls,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,44,0.010356928177848727
C8_International travel controls,Demographics,People using safely managed drinking water services (% of population),proportion,45,0.010352670081734253
C8_International travel controls,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,46,0.010128773064494981
C8_International travel controls,Health,"Nurses and midwives (per 1,000 people)",Ones,47,0.010087621731784803
C8_International travel controls,Social issues ,Net migration,net total / data are 5 year estimates,48,0.01006512163678895
C8_International travel controls,Environment,"Electricity production from oil, gas and coal sources",percent of total,49,0.010064910748173077
C8_International travel controls,Health,Prevalence of Depressive disorders,percent,50,0.009801040203159236
C8_International travel controls,Health,Prevalence of chronic kidney disease,percent,51,0.00978604591314474
C8_International travel controls,Environment,Access to electricity ,percent of population,52,0.009706344029994266
C8_International travel controls,Environment,Electricity production from oil sources,percent of total,53,0.009664902060542171
C8_International travel controls,Environment,Electricity production from nuclear sources ,percent of total,54,0.009533825739980146
C8_International travel controls,Economics,Expenditure on social protection (% of GDP),percent,55,0.009521039980422634
C8_International travel controls,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",56,0.009506319134478742
C8_International travel controls,Health,Prevalence of obesity,percent,57,0.00928041288767989
C8_International travel controls,Health,Prevalence of Diabetes,percent,58,0.009258406273575586
C8_International travel controls,Demographics,Refugee population by country or territory of asylum,proportion,59,0.009119610092901033
C8_International travel controls,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,60,0.008851259976418417
C8_International travel controls,Environment,"Energy imports, net ",percent of energy use,61,0.00884788802360299
C8_International travel controls,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,62,0.00884767477144177
C8_International travel controls,Governance,Human Development Index,index,63,0.008810608525759867
C8_International travel controls,Health,Prevalence of total cancers,percent,64,0.008779391463071879
C8_International travel controls,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,65,0.008692482169046719
C8_International travel controls,Demographics,"Population, total",total,66,0.008606114682130577
C8_International travel controls,Economics,"Trade, total as % of GDP",percent,67,0.008488596774088624
C8_International travel controls,Demographics,Mobile cellular subscriptions,number,68,0.008451715000192985
C8_International travel controls,Economics,Unemployment rate (%) - Annual,percent,69,0.008293344583023818
C8_International travel controls,Demographics,"Net migration rate, per 1000 population",per thousand persons,70,0.008259746623363894
C8_International travel controls,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",71,0.00821261043526399
C8_International travel controls,Demographics,Mobile cellular (per 100 people),per 100 population,72,0.008055736343762138
C8_International travel controls,Social issues ,Press freedom score,score,73,0.008019317201423997
C8_International travel controls,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,74,0.007985807076017343
C8_International travel controls,Social issues ,Progression to secondary school (%),proportion,75,0.007979084016744385
C8_International travel controls,Demographics,Internet users (per 100 people),per 100 population,76,0.007863527177735011
C8_International travel controls,Demographics,Fixed telephone subscriptions,number,77,0.007733303225720412
C8_International travel controls,Demographics,Fixed telephone (per 100 people),per 100 population,78,0.007730727678693987
C8_International travel controls,Demographics,Fixed broadband subscriptions,number,79,0.007405224770892352
C8_International travel controls,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,80,0.007398885900623229
C8_International travel controls,Economics,Expenditure on education (% of GDP),percent,81,0.007278499796353457
C8_International travel controls,Economics,"Central government debt, total",percent of GDP,82,0.007275638627441272
C8_International travel controls,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,83,0.007208715540234168
C8_International travel controls,Economics,Starting a Business (Score),Score,84,0.006825841176892768
C8_International travel controls,Demographics,Age dependency ratio (% of working-age population),proportion,85,0.006572736148482011
C8_International travel controls,Environment,Fossil fuel energy consumption,percent of total,86,0.00637917286135747
C8_International travel controls,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,87,0.006202188799366981
C8_International travel controls,Environment,Renewable energy consumption ,percent of total final energy consumption,88,0.0061862734685561695
C8_International travel controls,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,89,0.006061464775744607
C8_International travel controls,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,90,0.005831892285993543
C8_International travel controls,Governance,Corruption Perceptions Index,score,91,0.005808961272484347
C8_International travel controls,Economics,"Lending interest rates, percent per annum",percent per annum,92,0.005655581665070178
C8_International travel controls,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,93,0.005606953513333822
C8_International travel controls,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",94,0.005521276061231121
C8_International travel controls,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,95,0.005453374805292121
C8_International travel controls,Economics,"International tourism, receipts",US Dollar,96,0.00508115657724438
C8_International travel controls,Environment,Electricity production from coal sources ,percent of total,97,0.004894345350923848
C8_International travel controls,Economics,Growth rates of household expenditure or income per capita (%),percent,98,0.004818294704324419
C8_International travel controls,Economics,"Foreign direct investment, net",US Dollar,99,0.004725479602966891
C8_International travel controls,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,100,0.004623160911910737
C8_International travel controls,Economics,Stock market capitalization (US$ million),percent,101,0.0038117513356632606
C8_International travel controls,Environment,CO2 emissions (metric tons per capita),metric tons per capita,102,0.0033981918459458607
C8_International travel controls,Economics,Volume of exports,percent change,103,0.0
E1_Income support,Governance,Serious assault (rate),rate,1,0.018782826434879767
E1_Income support,Health,Prevalence of chronic kidney disease,percent,2,0.01706481706325772
E1_Income support,Social issues ,Proportion of women in managerial positions (%),percent,3,0.015989878590671625
E1_Income support,Demographics,Urban population (% of total population),total,4,0.015583707348891012
E1_Income support,Social issues ,Progression to secondary school (%),proportion,5,0.015339263299076764
E1_Income support,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,6,0.015010163140366446
E1_Income support,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),7,0.014847548752141271
E1_Income support,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,8,0.014465566390096815
E1_Income support,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,9,0.014444705986658065
E1_Income support,Health,Prevalence of Hypertensive heart disease,percent,10,0.014432768054882264
E1_Income support,Demographics,Rural population (% of total population),proportion,11,0.014266271130626547
E1_Income support,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,12,0.014216204374823392
E1_Income support,Demographics,Mobile cellular subscriptions,number,13,0.014130091993377721
E1_Income support,Demographics,Individuals using the Internet,percent of population,14,0.013652303660408174
E1_Income support,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,15,0.013594331515727365
